id,"i_dialog","i_utterance",speaker,utterance
1622,150,18,Lauren,"Hi, pig!"
1621,150,17,Joey,"Hi, Lauren."
1620,150,16,Kate,"Hi, Lauren."
1619,150,15,Lauren,"Hi, Kate!"
1618,150,14,Joey,"Nooo."
1617,150,13,Kate,"Joey, I?m-I?m sorry you feel bad, but haven?t you ever sleep with a women where it meant more to her than it did to you?"
1616,150,12,Kate,"That?s all it was."
1615,150,11,Kate,"Look umm, I, I was, I was just caught up in the moment."
1614,150,10,Joey,"I-I was there, you?re not that good an actress."
1613,150,9,Joey,"I mean, come on you can?t tell me last night didn?t mean something to you."
1612,150,8,Joey,"It was a big deal."
1611,150,7,Joey,"What are you talking about?"
1610,150,6,Phoebe,"Well not exactly like the one in the poem."
1609,150,5,Monica,"Yeah, just like the one in the poem."
1608,150,4,Phoebe,"Yeah, it's a vase."
1607,150,3,Monica,"Oh-ho, look what I got Julio."
1606,150,2,Phoebe,"What are you wrapping?"
1605,150,1,Monica,"Hey."
1604,150,0,Phoebe,"Hey!"
1603,149,17,Joey,"Yeah."
1602,149,16,Phoebe,"See?"
1601,149,15,Phoebe,"Yeah your pervert boyfriend watched me in a porno movie!"
1600,149,14,Phoebe,"Okay?"
1599,149,13,Phoebe,"From porn!"
1598,149,12,Phoebe,"All right, I?ll give you a hint."
1597,149,11,Phoebe,"You?re trying to figure out where you know me from?"
1596,149,10,Phoebe,"Yeah."
1595,149,9,Joey,"You do?"
1594,149,8,Phoebe,"Oh no! No! I know how to handle it."
1593,149,7,Joey,"That?s great, but isn?t it gonna bother that people still think you?re a porn star?"
1592,149,6,Phoebe,"Um-mmm,"
1591,149,5,Joey,"Nice!"
1590,149,4,Phoebe,"No! No! I just went to pick up Phoebe Buffay?s checks; there were a lot of them."
1589,149,3,Joey,"Oh no, not you too!"
1588,149,2,Phoebe,"So, I just came from the company Ursula works for."
1587,149,1,Joey,"Hey!"
1586,149,0,Phoebe,"Hey!"
1585,148,14,Joey,"Thanks! Okay-okay check it out!  Picture? What picture?  Eh?"
1584,148,13,Richard,"Great!"
1583,148,12,Joey,"Wow! Didn?t know that."
1582,148,11,Richard,"That?s what real actors do! Annunciation is the mark of a good actor! And when you enunciate, you spit!"
1581,148,10,Joey,You
1580,148,9,Richard,"Well of course I am!"
1579,148,8,Joey,"But you?re spittin? all over me man!"
1578,148,7,Richard,"Oh, thanks."
1577,148,6,Joey,"Okay uh, look I know you?re a great actor, okay? And you play all those Shakespeare guys and stuff"
1576,148,5,Richard,"Could you uh, could you lower your script? I need to see your face so I can uh, play off your reaction."
1575,148,4,Joey,"Picture? What picture?"
1574,148,3,Richard,"I found the picture!"
1573,148,2,Joey,"Alright."
