Id,Predicted
11186,0
11185,1
11184,1
11183,0
11182,1
11181,1
11180,1
11179,1
11178,0
11177,0
11176,1
11175,0
11174,0
11173,1
11172,1
11171,0
11170,1
11169,0
11168,0
11167,1
11166,1
11165,0
11164,0
11163,1
11162,1
11161,1
11160,0
11159,0
11158,0
11157,1
11156,1
11155,0
11154,1
11153,0
11152,0
11151,0
11150,1
11149,0
11148,1
11147,1
11146,1
11145,1
11144,1
11143,1
11142,1
11141,1
11140,0
11139,1
11138,0
11137,0
11136,1
11135,0
11134,0
11133,0
11132,0
11131,1
11130,1
11129,1
11128,0
11127,0
11126,1
11125,1
11124,1
11123,1
11122,0
11121,0
11120,1
11119,0
11118,1
11117,0
11116,0
11115,0
11114,1
11113,0
11112,1
11111,1
11110,0
11109,0
11108,0
11107,0
11106,0
11105,0
11104,1
11103,0
11102,1
11101,1
11100,1
11099,0
11098,1
11097,0
11096,1
11095,0
11094,1
11093,0
11092,0
11091,0
11090,0
11089,0
11088,1
11087,1
11086,0
11085,1
11084,0
11083,0
11082,0
11081,1
11080,0
11079,0
11078,1
11077,1
11076,0
11075,0
11074,1
11073,0
11072,0
11071,0
11070,0
11069,0
11068,1
11067,0
11066,1
11065,0
11064,0
11063,1
11062,1
11061,1
11060,1
11059,0
11058,0
11057,0
11056,0
11055,0
11054,1
11053,0
11052,0
11051,0
11050,1
11049,1
11048,1
11047,1
11046,0
11045,1
11044,1
11043,1
11042,1
11041,0
11040,1
11039,1
11038,1
11037,0
11036,1
11035,1
11034,0
11033,0
11032,1
11031,1
11030,1
11029,0
11028,1
11027,1
11026,1
11025,1
11024,1
11023,0
11022,0
11021,0
11020,1
11019,1
11018,1
11017,0
11016,1
11015,1
11014,1
11013,1
11012,0
11011,1
11010,1
11009,1
11008,1
11007,0
11006,0
11005,1
11004,1
11003,0
11002,1
11001,1
11000,0
10999,1
10998,0
10997,0
10996,0
10995,0
10994,0
10993,1
10992,0
10991,1
10990,0
10989,1
10988,1
10987,1
10986,0
10985,1
10984,1
10983,1
10982,1
10981,1
10980,0
10979,0
10978,1
10977,0
10976,1
10975,1
10974,1
10973,1
10972,1
10971,1
10970,0
10969,1
10968,1
10967,1
10966,1
10965,1
10964,0
10963,0
10962,1
10961,0
10960,1
10959,0
10958,1
10957,0
10956,0
10955,1
10954,1
10953,0
10952,1
10951,1
10950,0
