speaker,utterance,emotion,annotation,temp
Rachel,"Go get back on that case honey!",anger,1100300,"Test_Set"
Ross,"Uh Rach",neutral,4001000,"Test_Set"
Rachel,"And my husband  he's a lawyer!","non-neutral",2100200,"Test_Set"
Rachel,"Not this hospital, I'm going to sue you!",anger,0000401,"Test_Set"
Rachel,"And if you bring in one woman and she has her baby before me I'm going to sue you!",anger,1000301,"Test_Set"
Rachel,"It's only fair!",anger,1000400,"Test_Set"
Rachel,"It's my turn!",anger,0200300,"Test_Set"
Rachel,"I'm next!",anger,0200300,"Test_Set"
Rachel,"Since I have been waiting four women, that's four, one higher than the number of centimeters that I am dilated, have come and gone with their babies!","non-neutral",1000211,"Test_Set"
Rachel,"You listen to me!",anger,0000500,"Test_Set"
Rachel,"You listen to me!",anger,0000500,"Test_Set"
Rachel,"Okay wait!","non-neutral",2101100,"Test_Set"
Rachel,"Okay!",joy,2300000,"Test_Set"
Joey,"I tell ya, that has never happened before.","non-neutral",1011020,"Test_Set"
Joey,"One hundred percent natural!",joy,0300020,"Test_Set"
Joey,"So there you go, that's me.",neutral,4100000,"Test_Set"
Joey,"Don't you worry; I have nothing to hide.","non-neutral",2021000,"Test_Set"
Joey,"You need to y'know make sure I don't have any horrible scars or tattoos.","non-neutral",2111000,"Test_Set"
Joey,"I totally understand.",neutral,4010000,"Test_Set"
Joey,"Not a problem.",neutral,3020000,"Test_Set"
Joey,"Hey right!",surprise,1100030,"Test_Set"
Joey,"Oh!",surprise,0000050,"Test_Set"
Joey,"My whole family's from Naples!","non-neutral",1200020,"Test_Set"
Joey,"And what's cool is, the character is from Naples, right?","non-neutral",2100020,"Test_Set"
Joey,"It's like my favorite fairy tale come true!  The princess, the stable boy and the lesbian!",joy,0410000,"Test_Set"
Ross,"Ok ...  Well, uh, Joey, I guess    we have no problem.",neutral,3000020,"Test_Set"
Ross,"Yeah, come on in. Molly?",neutral,4000010,"Test_Set"
Joey,Ok,neutral,5000000,"Test_Set"
Joey,"I didn't think I could ever love again.",sadness,0130100,"Test_Set"
Joey,"Look, the truth is, I haven't felt this    way about anyone since Rachel, ok?","non-neutral",1120100,"Test_Set"
Joey,"Can't you guys open your minds to the possibility that I actally like her,    and might want something real?",anger,1000301,"Test_Set"
Joey,"Huh?","non-neutral",1000220,"Test_Set"
Joey,"What makes you think that I'm just gonna sleep with her and then blow her off?",anger,1000400,"Test_Set"
Joey,"You know, this isn't fair.",anger,0020300,"Test_Set"
Joey,"No ... the leather sticks to my ass.","non-neutral",1110002,"Test_Set"
Ross,"What do you think you're gonna do, have sex with her right here    on my couch?",disgust,0000005,"Test_Set"
Joey,"Will the stable boy never get the princess??",sadness,0040100,"Test_Set"
Ross,"Thanx.",neutral,3200000,"Test_Set"
Ross,"Molly, ah, do you mind giving us just a minute?",neutral,4000100,"Test_Set"
Joey,"Molly ... people don't study acting ...",neutral,4000100,"Test_Set"
Joey,"Oh, I didn't go to college.",neutral,5000000,"Test_Set"
Joey,"So you see, Molly, what people don't understand is that acting    is a discipline. It takes a lot of hard work.",neutral,5000000,"Test_Set"
Chandler,"Y'know, I feel like I've lost her..  Ba-!","non-neutral",0020111,"Test_Set"
Chandler,"I know we both said some things we didn't mean, but that doesn't mean we still don't love each other.",neutral,3010001,"Test_Set"
Chandler,"Oh, c'mon Dora, don't be mad...",neutral,3000011,"Test_Set"
Chandler,"Who's he sleeping with?",neutral,3000101,"Test_Set"
Chandler,"I mean, that guy with the toe thing?","non-neutral",2000102,"Test_Set"
Chandler,"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in.","non-neutral",2000102,"Test_Set"
Joey,"They did it right there on the couch.","non-neutral",2000102,"Test_Set"
Rachel,"What?","non-neutral",2100020,"Test_Set"
Joey,"Ohh, I know one thing!","non-neutral",1000220,"Test_Set"
Rachel,"You don't know anything.",anger,0000302,"Test_Set"
Joey,"I don't know.",neutral,5000000,"Test_Set"
Rachel,"Are they in love?","non-neutral",2001020,"Test_Set"
Joey,"I don't know.",neutral,5000000,"Test_Set"
Rachel,"Is he romantic with her?","non-neutral",2001020,"Test_Set"
Joey,"I don't know.",neutral,5000000,"Test_Set"
Rachel,"No! I mean come on! This is a","non-neutral",0001202,"Test_Set"
Joey,"Sorry. Monica and Chandler are making love.",neutral,4000001,"Test_Set"
Rachel,"I can't believe you would say that!","non-neutral",0000122,"Test_Set"
Joey,"Look, it's not that big of a deal, so Monica and Chandler are doing it.",neutral,4100000,"Test_Set"
Joey,"Rach, I told you everything I knew last night!","non-neutral",2000201,"Test_Set"
Rachel,"Come on Joey!!!","non-neutral",1100102,"Test_Set"
Phoebe,"It's okay to laugh right?","non-neutral",1102010,"Test_Set"
Phoebe,"Umm, do health inspectors work on commission?",neutral,4001000,"Test_Set"
Monica,"Oh, Larry.",neutral,5000000,"Test_Set"
Ross,"Ohh, it was the best!",joy,0500000,"Test_Set"
Rachel,"Yes, I did. Thank you very much, it was excellent.",joy,0500000,"Test_Set"
Joey,"What's up with Gene?","non-neutral",2100020,"Test_Set"
Chandler,"It's Clint!",anger,0000401,"Test_Set"
Phoebe,"Bye, Gene.",neutral,4100000,"Test_Set"
Joey,"See you later, Gene.",neutral,3100001,"Test_Set"
Chandler,"It's Clint. It's Clint!",anger,1000400,"Test_Set"
Phoebe,"Umm, Gene.",neutral,5000000,"Test_Set"
