speaker,utterance,emotion,annotation,emotion_code
Doug,great job team!,joy,500000,3
Doug,so  in conclusion  the lines all go up   so i am happy ,neutral,3200000,4
Joey,i think i left a donut up here ,neutral,5000000,4
Monica,what are you doing?,neutral,3000020,4
Monica,that fridge has got to be stocked  okay  that is your department now ,neutral,4000100,4
Monica,if you have the big apartment you have to deal with people coming over all the time ,neutral,4000001,4
Joey,there is gravy?,surprise,1000040,7
Monica,umm  excuse me  we switched apartments  you cannot eat are food anymore  that that gravy train had ended ,non-neutral,1100201,5
Joey,hey!,non-neutral,1100120,5
Phoebe,that sounds great!,non-neutral,2200010,5
Rachel,uh huh ,neutral,5000000,4
Phoebe,personal shopping? what is that? like where you walk around with snooty rich people and tell them what to buy?,neutral,3000002,4
Chandler,i am not i m not i m not gay!,non-neutral,2120,5
Chandler,og ee op  i am not asking for me  i m    i mean    no  i m i m not gay  i am not asking you out ,non-neutral,1101020,5
Chandler,are you seeing anybody right now?,neutral,5000000,4
Chandler,i say  drew!,non-neutral,2100020,5
Chandler,oh! some guy  some guy   hey jill  i saw you with some guy last night  yes  he was,joy,1300010,3
Jill,i am fine  no  i am not alone    i do not know  some guy ,neutral,4001000,4
Chandler,jill says vestibule    i am going with vestibule ,neutral,3200000,4
Jill,yeah  i am fine  i am just stuck at the bank  in an atm vestibule ,neutral,5000000,4
Chandler,she is right  it is jill  jill goodacre  oh my god  i am trapped in an atm vestibule with jill goodacre!,surprise,50,7
Jill,hi mom  it is jill ,neutral,5000000,4
Chandler,oh my god  it is that victoria s secret model  something    something goodacre ,surprise,1000040,7
Rachel,uh  it was very nice meeting you ,neutral,4100000,4
Danny,you are so dead! i am going to get you ,non-neutral,1200200,5
Krista,you are!,non-neutral,1200110,5
Krista,you are so bad!,non-neutral,1100210,5
Danny,like it would help ,neutral,3000002,4
Krista,nice to meet you  i wish you would told me we were having company  i would fix myself up!,surprise,1100030,7
Rachel,hi!,joy,1400000,3
Danny,oh hey  great  you are up  rachel  this is my sister krista  krista  this is rachel ,neutral,3101000,4
Rachel,you are sister? you are sister s asleep on the couch?  ohhh! i saw,surprise,1000040,7
Danny,i would love to ask you in  but uh  my sister s visiting and i think she is asleep on the couch ,neutral,3100010,4
Rachel,so did i  i am really glad monica asked us out ,joy,1400000,3
Danny,i had a really nice time tonight ,joy,1400000,3
Rachel,no! seriously! what is wrong with you?!,non-neutral,122,5
Joey,come here!,non-neutral,1000211,5
Rachel,okay bobby  why do not we just come over here and let them have a little moment ,neutral,4000100,4
Bobby,and by you ,joy,2300000,3
Joey,that is right! by his uncle too!,joy,1400000,3
Dina,we are going to be all right  i mean  even if we are not married this baby is going to be so loved  not just by us ,joy,2300000,3
Joey,of course he is going to have his uncle joey!,joy,310010,3
Dina,is my baby going to have his uncle joey?,sadness,1130000,6
Dina,i want him to have his uncle ,sadness,2030000,6
Dina,joey  i cannot stand the thought of having this baby with you mad at me ,sadness,41000,6
Joey,well i would be scared of them  but all right ,non-neutral,2011010,5
Dina,i was scared of telling you ,fear,1013000,2
Dina,i am not even scared to tell mom and dad ,neutral,4001000,4
Dina,i mean  you are my favorite guy in the whole world ,neutral,3200000,4
Dina,and you are my big brother!,joy,1300100,3
Joey,because!  cause    because you are my baby sister!,non-neutral,200120,5
Dina,look  rachel s told me how much easier you have made all this on her  why cannot you do that for me?,anger,1010300,0
Bobby,you bet i am!  and to answer your earlier question  we are straight up gangster rap ,joy,1400000,3
Dina,and bobby s going to be here the whole time ,neutral,3011000,4
Dina,but i really think i can do it  i am just going to need some help ,fear,14000,2
Dina,joey  i am scared to death about this ,fear,1004000,2
Joey,maybe!  well! well   so so uh  what kind of music does numb nuts oh forget it! i can t!,anger,311,0
Rachel,so forcing her to marry bobby is going to make that happen?,non-neutral,122,5
Joey,one pregnant woman at a time  please! i just want you to be okay ,non-neutral,100121,5
Richard,no! i came here to tell you something else   i came here  to tell you i still love you ,joy,1400000,3
Monica,oh  good to see you too  did you come down here to tell me that?,neutral,4100000,4
Richard,well  it was great seeing you the other night ,joy,2300000,3
Monica,so what is up?,neutral,4100000,4
Monica,like i have nothing better to do!,neutral,3100100,4
Monica,ohh    oh  that is okay i hate when people come back to complement the chef ,neutral,4000100,4
Richard,actually  i am not here to complement the chef ,neutral,5000000,4
Monica,richard!,joy,300020,3
Phoebe,no  but let us come back to that later!,neutral,3100010,4
Monica,does it have to do with with chandler and that sock that he keeps by his bed?,neutral,4000001,4
Phoebe,no ,neutral,5000000,4
Monica,does it have to do with joey?,neutral,4000010,4
Monica,okay  does it have to do with ross and rachel?,neutral,4000010,4
Phoebe,well  sure in a perfect world  but  no  i promised i would not tell  and i swore to like all my gods ,neutral,4001000,4
Monica,okay  but would not it be easier if you had to tell me something that you could tell me ,neutral,4000100,4
Phoebe,but i cannot tell you ,neutral,3001100,4
Monica,what?,neutral,4000010,4
Phoebe,ooh  i have to tell you something ,non-neutral,2010020,5
Monica,i know ,neutral,4010000,4
Rachel,you want me  you want me to quit my job so you can feel like you have a girlfriend?,anger,500,0
Rachel,wh  ross what do you want from me?,anger,311,0
Ross,yeah  well you never have the time  i mean  i do not feel like i even have a girlfriend anymore  rachel ,anger,10301,0
Rachel,but i told you  i did not have the time!,anger,410,0
Ross,yeah  well excuse me for wanting to be with my girlfriend on our anniversary  boy what an ass am i ,anger,500,0
Rachel,you had no,anger,1000301,0
Ross,for what? for letting you throw me out of your office?,anger,10400,0
Rachel,i was going to give you a chance to apologise to me ,non-neutral,2010200,5
Ross,no  hey  well  i i completely understand  you were  you were stressed ,neutral,3020000,4
Rachel,hi  look um  about what happened earlier   ,non-neutral,2021000,5
Ross,hey ,neutral,5000000,4
Joey,hey  how you doin ?,neutral,4100000,4
Joey,god!,anger,410,0
Joey,i cannot believe it!,surprise,230,7
Joey,stupid!,anger,302,0
Joey,okay?,neutral,5000000,4
Joey,here you go!,neutral,3000110,4
Joey,okay  that is why you did not want me to touch him right?,surprise,1000130,7
Joey,ah ah!!,surprise,1000130,7
Joey,i mean  i love i love this little guy!,non-neutral,121010,5
Joey,come on man  you you got to give me a second chance!,non-neutral,21110,5
Joey,okay  they even have actors coming in to read for my part!,non-neutral,12110,5
Joey,i i keep hearing all these rumors that i might get fired ,fear,2003000,2
Joey,umm  all right wayne  level with me ,neutral,3001100,4
Joey,all right ,neutral,4010000,4
Joey,okay!,surprise,1000040,7
Wayne,do not touch him!,anger,1310,0
Joey,morning! hey  how is my favorite genius and my little robot buddy?!,joy,400010,3
Joey,ah whatever!,non-neutral,2000102,5
Monica,joey! you did not even know her!,surprise,41,7
Chandler,no  that was dana caplin ,neutral,4000100,4
Ross,oh yeah! was not she uh,surprise,1000031,7
Chandler,uh  dana keystone from college ,neutral,5000000,4
Ross,going out with who?,neutral,3001010,4
Monica,what?! you are going out with her again!,surprise,50,7
Chandler,hey  relax i just need more time  we are going to dinner tonight ,neutral,3010010,4
Joey,you could not do it?!,surprise,50,7
Chandler,i could not do it ,sadness,1040000,6
Joey,hey hey hey! so  how did it go with dana? any reason i should leave a block of time open say thursday?,neutral,3100010,4
Monica,joey that is so sweet ,joy,500000,3
Joey,ross  you got to follow your heart ,neutral,4100000,4
Joey,what people think or how you feel  huh?,neutral,5000000,4
Joey,i mean what is more important?,neutral,5000000,4
Joey,well ross  it seems pretty clear ,neutral,5000000,4
Ross,yeah  what what should i do?,non-neutral,2002010,5
Monica,well ross  you be careful now  you do not want to get a reputation as you know professor mcnailshisstudents ,non-neutral,1001012,5
Ross,especially by that professor we ran into last night  judgey von holierthanthou ,non-neutral,2001002,5
Ross,i mean technically it s it s not against the rules or anything  but it is frowned upon ,neutral,4010000,4
Ross,well  not really ,neutral,4010000,4
Rachel,bye ,neutral,5000000,4
Chandler,well  we are great guys ,neutral,3200000,4
