speaker,utterance,emotion,annotation,temp
Ross,"How come it's always us left in the field holding the ball?","non-neutral",2000210,"Training_Set"
Monica,"No!",anger,0000500,"Training_Set"
Ross,"No! You let go!",anger,0000500,"Training_Set"
Monica,"Let go!",anger,0000500,"Training_Set"
Monica,"All right.",neutral,5000000,"Training_Set"
Phoebe,"Yes!","non-neutral",2201000,"Training_Set"
Monica,"Are you alone?",neutral,4001000,"Training_Set"
Phoebe,"No, you have to let me in right now!!","non-neutral",1001201,"Training_Set"
Monica,"Can you just hold on for one minute?",neutral,4001000,"Training_Set"
Phoebe,"Yeah!",joy,0301010,"Training_Set"
Monica,"Phoebe?",neutral,3000020,"Training_Set"
Phoebe,"No-no, let me in!","non-neutral",2001020,"Training_Set"
Monica,"Oh. Thank you. Ohhh, thank you very much. Oh, thank you for coming.  Uh, just a second!",joy,0400100,"Training_Set"
Monica,"Does she use the cups? Yes! I believe she does. Does she use the plates? Yes! I believe she does.","non-neutral",1100210,"Training_Set"
Phoebe,"...Flame Boy.",neutral,3000020,"Training_Set"
Rachel,"Are you sure?",surprise,0001040,"Training_Set"
Rachel,"Barry?",surprise,2000030,"Training_Set"
Ross,"Quack, quack..",neutral,4000001,"Training_Set"
Ross,"Okay, that's great.  No, I'm- Oh.",joy,0301010,"Training_Set"
Ross,"-she, of course, she- uh- familiar with our.. special situation?","non-neutral",1002020,"Training_Set"
Ross,"..Dr. Oberman. Okay. And is he-",neutral,3001010,"Training_Set"
Ross,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?","non-neutral",2101010,"Training_Set"
Ross,"How could I forget?",surprise,1100030,"Training_Set"
Ross,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",neutral,3001001,"Training_Set"
Joey,"What are you still doin' here?! I told you, lobster ravioli!",anger,0100301,"Training_Set"
Phoebe,"Yeah!",anger,0100400,"Training_Set"
Joey,"Fine!",anger,0100400,"Training_Set"
Phoebe,"Yeah!",anger,0000410,"Training_Set"
Joey,"Fine!",anger,0000500,"Training_Set"
Phoebe,"I don't have time to convince you because he's only here for four hours, and I'm gonna go see him!",anger,0000500,"Training_Set"
Phoebe,"Y'know what?",neutral,4100000,"Training_Set"
Phoebe,"Okay, whatever.","non-neutral",1100102,"Training_Set"
Joey,"Well, she graduated from high school!",anger,0000311,"Training_Set"
Phoebe,"She was?",surprise,1000130,"Training_Set"
Joey,"Okay, well my girl from the other night was special. She was a scientist too!",anger,0000410,"Training_Set"
Phoebe,"That-It's not the same thing! This is",anger,0010400,"Training_Set"
Joey,"And now Pheebs, you're doing the same thing!",anger,0000500,"Training_Set"
Joey,"Like-like-like I did something terrible to you!",anger,0000500,"Training_Set"
Joey,"Yeah, you made me feel really guilty about goin' out with that girl!",anger,0000500,"Training_Set"
Joey,"That's right!",anger,0100400,"Training_Set"
Joey,"No, I'm gonna!!",anger,0000410,"Training_Set"
Phoebe,"Come on Joey, don't make me feel badly about this.",sadness,0041000,"Training_Set"
Joey,"No, no Pheebs you-you must be mistaken, because I know you wouldn't schedule a date on the same night you have plans with a friend!",surprise,0000131,"Training_Set"
Joey,"A date?!",surprise,0100040,"Training_Set"
Phoebe,"Well... It's a date.",neutral,4100000,"Training_Set"
Joey,"Whoa-whoa, what is it?",surprise,0100040,"Training_Set"
Rachel,"Whoa, that","non-neutral",2000021,"Training_Set"
Phoebe,"""You wish.""","non-neutral",2200001,"Training_Set"
Chandler,"Yeah, you wish.",neutral,3001010,"Training_Set"
Monica,"Yeah! That's why I'm sleeping with him on the side.","non-neutral",1200020,"Training_Set"
Chandler,"So do you think uh, Joey's more charming than me?",neutral,3001010,"Training_Set"
Joey,"Well, actually I got a little bit saved for you Pheebs.",joy,2300000,"Training_Set"
